id,target
2142,0
3846,3
6177,0
11779,2
1593,0
14748,2
11962,0
3464,0
12335,2
8760,0
7516,4
901,3
6254,3
2588,2
1471,4
3368,1
12929,2
913,3
4245,0
12917,3
14499,1
6833,3
5366,1
7432,0
8247,2
11905,0
11551,2
6156,1
1109,3
9402,2
10371,0
13591,4
14529,1
355,1
12893,0
8715,4
1520,0
9585,4
10131,4
3399,3
9207,4
6531,0
2897,1
11846,4
12614,0
2155,3
169,2
992,3
4027,0
10783,2
670,0
14809,3
4748,4
10629,2
11913,3
12869,3
8473,1
10590,0
3185,0
4653,0
9026,1
12369,4
13440,4
5341,2
4768,4
5348,0
13400,4
8962,0
68,0
8110,4
14990,1
5764,0
216,2
12418,2
650,0
4452,3
6605,2
13060,2
14260,0
9035,2
11182,4
3819,4
10739,0
6032,0
5645,0
14707,1
3196,0
13507,4
12679,3
3098,0
724,4
9872,0
7131,0
7062,0
667,4
6016,0
2953,0
5521,0
13518,0
3014,0
4949,0
573,4
9229,4
2197,1
5898,0
8616,3
13387,4
11591,1
12134,4
1864,0
2989,4
5894,0
10205,4
13194,2
4095,3
13195,0
210,0
317,3
10290,4
13670,4
5168,0
11039,0
11786,0
1912,0
12932,0
6135,3
12752,0
10200,1
11750,0
11020,0
6130,0
1521,2
4435,0
7522,0
138,2
6494,0
5067,0
11567,4
3164,2
5509,2
9992,2
2940,2
11612,2
8798,1
7055,0
2627,3
9572,0
11471,4
12360,0
4953,0
2737,0
12813,1
6344,4
6301,4
4997,0
11933,1
5183,2
5635,1
4211,2
14837,4
5601,0
9283,0
13083,0
13105,0
13969,0
3362,4
13265,0
11206,0
12636,1
11157,0
10855,0
3147,1
8262,0
14218,4
13120,1
10666,4
14045,0
4846,0
4454,0
1291,0
9206,1
12290,0
7618,3
8016,4
9261,0
10844,0
3499,4
2191,1
10621,0
5358,0
3036,2
11620,0
13890,0
11178,0
11441,4
6093,1
2982,3
10203,0
8943,0
9747,3
2016,2
8506,0
4989,2
1535,3
10699,4
6743,0
5173,0
4898,4
6572,1
12140,4
7861,0
14592,2
1187,0
12411,0
14502,0
7074,0
13646,1
4135,1
6351,3
7399,0
4699,1
1759,2
12839,2
6891,1
8651,2
100,4
3506,0
10193,2
8475,0
12315,0
7990,0
2066,0
14936,1
5691,0
3169,0
14935,0
11849,0
3775,0
4403,3
10069,0
10837,2
7993,2
3518,2
12782,1
12031,0
13168,4
174,0
663,2
8242,3
11395,0
3030,0
532,2
6982,4
1079,0
1304,0
8686,0
13627,0
5869,0
11984,2
5380,1
487,3
7352,0
2075,1
164,1
14517,0
12120,0
1907,0
3833,0
5226,0
13999,0
429,1
2521,2
3908,1
10447,0
7645,0
669,0
1571,1
12645,0
14715,0
9896,2
5526,0
83,0
4550,1
4061,0
15,3
14236,0
11399,1
8693,3
6901,4
7904,1
10843,1
14053,0
2921,1
3865,0
3496,1
3612,1
14941,1
7346,3
13844,2
14779,0
7438,0
10457,1
4359,0
3366,4
11646,2
7824,0
3614,0
8182,3
7214,0
4810,0
8940,2
12699,0
11810,0
9508,4
1942,0
9546,0
6136,4
14184,2
13230,4
613,0
9315,0
3508,0
1241,2
14851,0
5789,2
8606,4
11121,3
11952,4
7325,0
14532,4
463,1
7573,2
1541,2
